grade,subject,section_number,section,lesson_number,lesson_title
5,Математика,1,Розділ I. Натуральні числа і дії з ними,1,Ряд натуральних чисел
5,Математика,1,Розділ I. Натуральні числа і дії з ними,2,Цифри. Десятковий запис натуральних чисел
5,Математика,1,Розділ I. Натуральні числа і дії з ними,3,Відрізок. Довжина відрізка
5,Математика,1,Розділ I. Натуральні числа і дії з ними,4,Площина. Пряма. Промінь
5,Математика,1,Розділ I. Натуральні числа і дії з ними,5,Шкала. Координатний промінь
5,Математика,1,Розділ I. Натуральні числа і дії з ними,6,Порівняння натуральних чисел
5,Математика,1,Розділ I. Натуральні числа і дії з ними,7,Додавання натуральних чисел. Властивості додавання
5,Математика,1,Розділ I. Натуральні числа і дії з ними,8,Віднімання натуральних чисел
5,Математика,1,Розділ I. Натуральні числа і дії з ними,9,Числові і буквені вирази. Формули
5,Математика,1,Розділ I. Натуральні числа і дії з ними,10,Рівняння
5,Математика,1,Розділ I. Натуральні числа і дії з ними,11,Кут. Позначення кутів
5,Математика,1,Розділ I. Натуральні числа і дії з ними,12,Види кутів. Вимірювання кутів
5,Математика,1,Розділ I. Натуральні числа і дії з ними,13,Многокутники. Рівні фігури
5,Математика,1,Розділ I. Натуральні числа і дії з ними,14,Трикутник і його види
5,Математика,1,Розділ I. Натуральні числа і дії з ними,15,Прямокутник
5,Математика,1,Розділ I. Натуральні числа і дії з ними,16,Множення. Переставна властивість множення
5,Математика,1,Розділ I. Натуральні числа і дії з ними,17,Сполучна і розподільна властивості множення
5,Математика,1,Розділ I. Натуральні числа і дії з ними,18,Ділення
5,Математика,1,Розділ I. Натуральні числа і дії з ними,19,Ділення з остачею
5,Математика,1,Розділ I. Натуральні числа і дії з ними,20,Степінь числа
5,Математика,1,Розділ I. Натуральні числа і дії з ними,21,Площа. Площа прямокутника
5,Математика,1,Розділ I. Натуральні числа і дії з ними,22,Прямокутний паралелепіпед. Піраміда
5,Математика,1,Розділ I. Натуральні числа і дії з ними,23,Об’єм прямокутного паралелепіпеда
5,Математика,1,Розділ I. Натуральні числа і дії з ними,24,Комбінаторні задачі
5,Математика,2,Розділ II. Дробові числа і дії з ними,25,Уявлення про звичайні дроби
5,Математика,2,Розділ II. Дробові числа і дії з ними,26,Правильні і неправильні дроби. Порівняння дробів
5,Математика,2,Розділ II. Дробові числа і дії з ними,27,Додавання і віднімання дробів з однаковими знаменниками
5,Математика,2,Розділ II. Дробові числа і дії з ними,28,Дроби і ділення натуральних чисел
5,Математика,2,Розділ II. Дробові числа і дії з ними,29,Мішані числа
5,Математика,3,Розділ II. Десяткові дроби,30,Уявлення про десяткові дроби
5,Математика,3,Розділ II. Десяткові дроби,31,Порівняння десяткових дробів
5,Математика,3,Розділ II. Десяткові дроби,32,Округлення чисел
5,Математика,3,Розділ II. Десяткові дроби,33,Додавання і віднімання десяткових дробів
5,Математика,3,Розділ II. Десяткові дроби,34,Множення десяткових дробів
5,Математика,3,Розділ II. Десяткові дроби,35,Ділення десяткових дробів
5,Математика,3,Розділ II. Десяткові дроби,36,Середнє арифметичне. Середнє значення величини
5,Математика,3,Розділ II. Десяткові дроби,37,Відсотки. Знаходження відсотків від числа
5,Математика,3,Розділ II. Десяткові дроби,38,Знаходження числа за його відсотками
